url,status,source,sources,format,expectedBytes,downloadedBytes,sha256,localPath,datasetTitle,resourceName,licenseTitle,licenseUrl,contentType,etag,lastModified,referrers,error
http://centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=7,downloaded,documents,documents,PDF,,1361449,b47b8a16f24a462d2190f92c362545d36a85aefedc1a087b8de424ee77abe2be,files\centralbank.ie\_long\ccf5b450a424e870b8cb573c\vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-economic-letter-bci-indicator-09-jun-2020,
http://centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf,downloaded,documents,documents,PDF,,3567239,bd3bfa1a5b63f640a7f576d847cd76ea408896f48cf1e83ef21603b7e36f220d,files\centralbank.ie\_long\a6cb8e1bafabada603dcf35c\quarterly-bulletin-no-2-2017__u-a6cb8e1bafab.pdf,,,,,application/pdf,,,https://www.centralbank.ie/publication/quarterly-bulletins/quarterly-bulletin-q2-2017,
http://centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/aifm/aifm/forms/business-plan-checklist.doc?sfvrsn=4,downloaded,documents,documents,DOC,,548352,99769481b0af8971d8a094ec8c6d920b589534952ab6fc81904130e205dd451f,files\centralbank.ie\_long\e53f7115f18359df53c2d4bd\business-plan-checklist__q-dd2b33c369__u-e53f7115f183.doc,,,,,application/msword,,,https://www.centralbank.ie/regulation/industry-market-sectors/funds-service-providers/aif-management-companies/authorisation-process,
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4,downloaded,documents,documents,PDF,,445706,ae0acdc7c1adb5825e55b9bb5cc7ad604f4f8c829613f7daa34bcdde5014b49e,files\centralbank.ie\_long\58ae015a9b49b8d7864c8d45\requirement-for-external-audit-of-solvency-ii-regulatory-returns-.pdf,,,,,application/pdf,,,https://www.centralbank.ie/publication/consultation-papers/cp104-external-audit-of-solvency-ii-regulatory-returns,
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/investment-firms/f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695.doc?sfvrsn=2,downloaded,documents,documents,DOC,,655360,5f53c0752e82da975b9e76320fcc43aa51fe34e6b87fd0205527a2c2d75264ec,files\centralbank.ie\_long\558c7dbf8370bb1a90541635\f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695__q-4fccbb85.doc,,,,,application/msword,,,https://www.centralbank.ie/regulation/industry-market-sectors/investment-firms/iia-non-retail-firms/forms,
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/payment-institutions/authorisation-process/electronic-communications-exclusion-notification-v2-2.docx?sfvrsn=8,downloaded,documents,documents,DOCX,,352811,966cc2aac53412c33aedc2027124423d293ea654d2ae0d1d0e56cb91b19064ff,files\centralbank.ie\_long\3cb874056b1fe76097ecb2a3\electronic-communications-exclusion-notification-v2-2__q-8f51900.docx,,,,,application/vnd.openxmlformats-officedocument.wordprocessingml.document,,,https://www.centralbank.ie/regulation/how-we-regulate/authorisation/payment-authorisation | https://www.centralbank.ie/regulation/industry-market-sectors/payment-institutions,
http://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/bank-balance-sheets/money-and-banking-statistics-january-2017.pdf?sfvrsn=7,downloaded,documents,documents,PDF,,688445,48c2a1d1c1f4da5029c4874ba8115b50ad7f774504561747bdcda63d9f1bc682,files\centralbank.ie\_long\b9cbe2e99ef9e7ba513f0033\money-and-banking-statistics-january-2017__q-56b0504811__u-b9cbe2.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/money-and-banking-statistics-january-2017,
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,downloaded,documents,documents,PDF,,253513,d2ac63e36ac14d1bc7ddad1c778c5699f951081044e3b57c4d0d9345306f948d,files\www.centralbank.ie\_long\85e210bd87361f3274d839ac\public-statement-relating-to-settlement-agreement-between-the.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-central-bank-concludes-inquiry-into-certain-persons-concerned-in-management-of-quinn-insurance-limited-03-september-2020,
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,downloaded,documents,documents,PDF,,251349,9a1abaf414678a6eb7340aa76acdc51f4c7058afedcbf6b3b7c11f09ef3b7a18,files\www.centralbank.ie\_long\15adda35be66211544599edb\public-statement-relating-to-settlement-agreement-between-the.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-central-bank-concludes-inquiry-into-certain-persons-concerned-in-management-of-quinn-insurance-limited-03-september-2020,
http://www.centralbank.ie/docs/default-source/news-and-media/speeches/181115-governor-lane-geary-lecture-2018---esri.pdf?sfvrsn=2,downloaded,documents,documents,PDF,,615342,8e955e86ee5c7003401f0cfd97788fd0d526c82e5b3919cee2ca15ad6aa4e683,files\www.centralbank.ie\_long\9f7b6272fa57f9699b7b36e0\181115-governor-lane-geary-lecture-2018---esri__q-4fccbb85c7_.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/globalisation-irish-economy-macro-financial-perspective-15-Nov-2018,
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf,downloaded,documents,documents,PDF,,1494629,67935592e5071f8287927f46f865482337d30c7f048dd340b2e3421dede69751,files\www.centralbank.ie\_long\8e2bba1b9d3c31d5001a59bb\cp125---consultation-on-potential-changes-to-the-lending-fram.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/consultation-lending-framework-for-cus-23Oct2018,
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp148/cp148-consultation-credit-union-exempt-services.pdf?sfvrsn=5,downloaded,documents,documents,PDF,,755869,13e92906589d19a28e0d2703c9a4e29cfc6313f493494fdf77f5ec84c05d6b42,files\www.centralbank.ie\_long\b2bd92c322625c549261084d\cp148-consultation-credit-union-exempt-services__q-f275fd9d97.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/remarks-by-registrar-of-credit-unions-patrick-casey-at-cuda-2022-annual-conference,
http://www.centralbank.ie/docs/default-source/publications/Consultation-Papers/cp85/feedback-cp85.pdf,downloaded,documents,documents,PDF,,798471,b93920e2edd82195abadf9feb0474bf1bc067481950117a3c5b289af68d5802c,files\www.centralbank.ie\docs\default-source\publications\Consultation-Papers\cp85\feedback-cp85__u-2decec3d7ec2.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/oliver-gilvarry-oireachtas-committee-finance-public-expenditure-reform,
http://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=2,downloaded,documents,documents,PDF,,775018,2b1644eb1a14550e9463cc3b4b79396c596c48accdf54dc376a6dae8296940cb,files\www.centralbank.ie\_long\e19d178ecfb9584fa861aaf9\behaviour-and-culture-of-the-irish-retail-banks__q-4fccbb85c7.pdf,,,,,application/pdf,,,https://www.centralbank.ie/publication/behaviour-and-culture-report,
http://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-6/feedback-statement-on-exchange-traded-funds---discussion-paper-6.pdf?sfvrsn=2,downloaded,documents,documents,PDF,,1219825,90ddfba76fbe082d21ff5a573a17fa8f16df5a20763272479a1dfdc7135677c2,files\www.centralbank.ie\_long\e9e903aa400ec21e98909eb4\feedback-statement-on-exchange-traded-funds---discussion-pape.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/feedback-statement-exchange-traded-funds-14-septermber-2018,
http://www.centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-10-reg-impact-of-covid-19-western-reg-and-atlantic-eco-corridor-lydon-mcgrath.pdf?sfvrsn=6,downloaded,documents,documents,PDF,,650855,ca1432147572c231163397ee30defcc3b4e16b603ad9af74cc99b394a1dcf7ed,files\www.centralbank.ie\_long\40d3da4657b1e108a3a695c7\vol-2020-no-10-reg-impact-of-covid-19-western-reg-and-atlanti.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-economic-letters-policy-response-to-covid-19-provides-essential-support-to-western-counties-23-october-2020,
http://www.centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no.11-wage-subsidies-and-job-retention-keenan-and-lydon.pdf?sfvrsn=5,downloaded,documents,documents,PDF,,840557,2ab17e9a92ddf6b6543e7496ad74becf99c8acf8c5fcf3c5b8455250175b7b0e,files\www.centralbank.ie\_long\4092f04db188a00db3c10ce5\vol-2020-no.11-wage-subsidies-and-job-retention-keenan-and-ly.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-economic-letters-policy-response-to-covid-19-provides-essential-support-to-western-counties-23-october-2020,
http://www.centralbank.ie/docs/default-source/publications/financial-stability-notes/long-term-mortgage-arrears-analytical-evidence-for-policy-considerations.pdf?sfvrsn=4,downloaded,documents,documents,PDF,,1245270,17c36076c64958d59452363285f8c767ddcecc50fd2c95a9c9a4e98fc6357bc3,files\www.centralbank.ie\_long\46c8b369fcead173f622bedb\long-term-mortgage-arrears-analytical-evidence-for-policy-con.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-action-needed-by-lenders-to-resolve-long-term-mortgage-arrears-ed-sibley-13-july-2021,
http://www.centralbank.ie/docs/default-source/publications/financial-stability-notes/no-1-releasing-the-ccyb-to-support-the-economy-in-a-time-of-stress-(denora-o'brien-and-o'brien).pdf?sfvrsn=7,downloaded,documents,documents,PDF,,656494,debb6a8cec2af1b6e0d00f936b855a685ec7b0ea41c201d23774a3e20e521234,files\www.centralbank.ie\_long\97abb8b352f433aa043bcf6b\no-1-releasing-the-ccyb-to-support-the-economy-in-a-time-of-s.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/speeche-risks-resilience-and-policy-responses-to-covid-19-sharon-donnery-17-jun-20,
http://www.centralbank.ie/docs/default-source/publications/financial-stability-notes/no-5-covid-19-payment-breaks-on-residential-mortgages-(gaffney-and-greaney).pdf?sfvrsn=4,downloaded,documents,documents,PDF,,911682,490d2cd6b8b18b8d5dbd36b028ba3032859a82e789d533e31c4e0e6e8eb0f85a,files\www.centralbank.ie\_long\a327142d5851e81f18a51f01\no-5-covid-19-payment-breaks-on-residential-mortgages-(gaffne.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-FSNpayment-breaks-provided-a-major-source-of-temporary-relief-to-irish-households-and-firms-15-september-2020,
http://www.centralbank.ie/docs/default-source/publications/financial-stability-notes/no-6-which-firms-took-covid-19-payment-breaks-(duignan-and-mcgeever).pdf?sfvrsn=6,downloaded,documents,documents,PDF,,1165329,e639dadf0a47f48db65e69746f13f61cd0ef06b75c3d6877c5abb858c2137504,files\www.centralbank.ie\_long\7e86ee6436c6c43035559e19\no-6-which-firms-took-covid-19-payment-breaks-(duignan-and-mc.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-FSNpayment-breaks-provided-a-major-source-of-temporary-relief-to-irish-households-and-firms-15-september-2020,
http://www.centralbank.ie/docs/default-source/publications/financial-stability-notes/no-9-the-future-of-global-financial-centres-after-brexit---an-eu-perspective-(calo-and-herzberg).pdf?sfvrsn=4,downloaded,documents,documents,PDF,,1082892,16eed6fffa87562850daab2b3e0e5fcbce0ac95582896fcadf28f43d7c1128a4,files\www.centralbank.ie\_long\91fae01baf550c8f937a6b6a\no-9-the-future-of-global-financial-centres-after-brexit---an.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-landscape-for-london-and-eu-financial-centres-post-brexit-06-august-2019,
http://www.centralbank.ie/docs/default-source/publications/household-credit-market-report/household-credit-market-report-2020.pdf?sfvrsn=5,downloaded,documents,documents,PDF,,1500389,847caa5aca866c2ac68f401ef840e43856fcacb45f4a4414f9b25fa6ec7e02c7,files\www.centralbank.ie\_long\93b9493d3bd6ece333d0d3c3\household-credit-market-report-2020__q-f275fd9d97__u-93b9493d.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/press-release-household-demand-for-credit-recovered-since-onset-of-pandemic-but-remains-below-2019-levels-15-october-2020,
http://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-signed-articles/new-insights-from-irish-pension-funds-statistics.pdf?sfvrsn=10,downloaded,documents,documents,PDF,,985310,b006970c20fa4b131094ac6bda97e260c6e0d4c4e8034c9ddb16ddf17241b588,files\www.centralbank.ie\_long\38dc0df399fb5e214812fd33\new-insights-from-irish-pension-funds-statistics__q-658c28fb4.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/blog-the-outlook-for-the-irish-economy,
http://www.centralbank.ie/docs/default-source/publications/research-technical-papers/01rt17-investment-fund-risk-the-tale-in-the-tails.pdf,downloaded,documents,documents,PDF,,1195416,5812f316c23aff1659017c80ab815cebf1732b594686f90ea8b96a5e319d711a,files\www.centralbank.ie\_long\1d5c6f554a5f724f95d2ea67\01rt17-investment-fund-risk-the-tale-in-the-tails__u-1d5c6f55.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/research-whether-investment-vehicles-can-mitigate-effects-of-runs,
http://www.centralbank.ie/docs/default-source/regulation/consumer-protection/other-codes-of-conduct/dear-ceo---withdrawal-of-retail-banks-from-the-irish-market.pdf,downloaded,documents,documents,PDF,,54976,ed9ceff4b3aa8ce3928de6a59f87705b85c4f2a781a9b4188671e25520ba3cba,files\www.centralbank.ie\_long\071446ef440538f3192886bf\dear-ceo---withdrawal-of-retail-banks-from-the-irish-market__.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/central-bank-reinforces-consumer-protection-expectations-of-regulated-financial-firms-providing-direct-debit-services-29-jul-2022,
http://www.centralbank.ie/docs/default-source/regulation/consumer-protection/other-codes-of-conduct/dear-ceo-consumer-protection-expectations-as-withdrawal-of-retails-banks-irish-market.pdf,downloaded,documents,documents,PDF,,104076,69efc2729880056b668687424bd275596a3d3beeb6c26e4340818e203ae1d65c,files\www.centralbank.ie\_long\b1acdd3727b9fd6d8fb2717c\dear-ceo-consumer-protection-expectations-as-withdrawal-of-re.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/central-bank-reinforces-consumer-protection-expectations-of-regulated-financial-firms-providing-direct-debit-services-29-jul-2022,
http://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-unions/communications/statistics/financial-conditions-of-credit-unions-2013---2018.pdf?sfvrsn=4,downloaded,documents,documents,PDF,,960161,227931ebbe1f5541ea4c69f99801edcacf82c5d6840f317d427eeef5c715a818,files\www.centralbank.ie\_long\271ad75fc3a27a9779fcad10\financial-conditions-of-credit-unions-2013---2018__q-dd2b33c3.pdf,,,,,application/pdf,,,https://www.centralbank.ie/news/article/update-on-the-financial-condition-of-the-credit-union-sector,
http://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/national-specific-templates/nst-01-tech-spec.pdf?sfvrsn=6,downloaded,documents,documents,PDF,,715261,c01fc91da9135b0230c68912ef928fa13eb7c356b9214dd0acb28a46b6432f83,files\www.centralbank.ie\_long\099ee43eff130f2eca83e403\nst-01-tech-spec__q-63832cef84__u-099ee43eff13.pdf,,,,,application/pdf,,,https://www.centralbank.ie/regulation/industry-market-sectors/insurance-reinsurance/national-specific-templates,
http://www.centralbank.ie/polstats/stats/qfaccounts/Documents/Quarterly%20Financial%20Accounts%20for%20Ireland%202016%20Q1.pdf,failed,documents,documents,PDF,,,,,,,,,,,,https://www.centralbank.ie/news/article/address-by-ed-sibley-director-of-credit-institutions-supervision-at-the-banking-and-payments-federation-of-ireland-(bpfi)-on-non-performing-loans,HTTP 404 Not Found
http://www.centralbank.ie/publications/Documents/04RT14.pdf,failed,documents,documents,PDF,,,,,,,,,,,,https://www.centralbank.ie/news/article/introductory-statement-by-ed-sibley8Dec2016,HTTP 404 Not Found
http://www.centralbank.ie/publications/Documents/Annual%20Performance%20Statement%20(Financial%20Regulation)%202015-2016.pdf,failed,documents,documents,PDF,,,,,,,,,,,,https://www.centralbank.ie/news/article/speech-by-ed-sibley-director-of-credit-institutions-supervision-at-the-banking-and-payments-federation-of-ireland,HTTP 404 Not Found
