url,source_urls,alias_count,localPath,sha256,bytes,page_count,sample_pages,sampled_chars,sampled_nonspace_chars,empty_sample_pages,encrypted,suspected_image_only,status,error,title,author,creator,producer,creation_date,seconds
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4,http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4,2,files\centralbank.ie\_long\58ae015a9b49b8d7864c8d45\requirement-for-external-audit-of-solvency-ii-regulatory-returns-.pdf,ae0acdc7c1adb5825e55b9bb5cc7ad604f4f8c829613f7daa34bcdde5014b49e,445706,13,1 | 4 | 7 | 10 | 13,7304,5860,1,False,False,ok,,The Central Bank's Requirement for External Audit of Solvency II Regulatory Returns / Public Disclosures,Central Bank of Ireland,Microsoft® Word 2016,Microsoft® Word 2016,D:20250416094750+01'00',0.094
http://centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=7,http://centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=7 | https://www.centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=a9f3841d_7,2,files\centralbank.ie\_long\ccf5b450a424e870b8cb573c\vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-.pdf,b47b8a16f24a462d2190f92c362545d36a85aefedc1a087b8de424ee77abe2be,1361449,16,1 | 5 | 9 | 13 | 16,9320,7852,0,False,False,ok,,"Vol 2020, No.6, What drives consumers' inflation perception in the euro area (Zekaite)",Central Bank of Ireland,LaTeX with hyperref package,pdfTeX-1.40.19,D:20200605092529+01'00',0.093
http://centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf,http://centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf | https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-archive/2017/quarterly-bulletin-no-2-2017.pdf?sfvrsn=6747a01d_13 | https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf?sfvrsn=11,3,files\centralbank.ie\_long\a6cb8e1bafabada603dcf35c\quarterly-bulletin-no-2-2017__u-a6cb8e1bafab.pdf,bd3bfa1a5b63f640a7f576d847cd76ea408896f48cf1e83ef21603b7e36f220d,3567239,103,1 | 26 | 52 | 78 | 103,10735,8881,0,False,False,ok,,,,Adobe InDesign CC 2015 (Macintosh),Adobe PDF Library 15.0,D:20170406061833+01'00',0.703
http://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/bank-balance-sheets/money-and-banking-statistics-january-2017.pdf?sfvrsn=7,http://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/bank-balance-sheets/money-and-banking-statistics-january-2017.pdf?sfvrsn=7,1,files\centralbank.ie\_long\b9cbe2e99ef9e7ba513f0033\money-and-banking-statistics-january-2017__q-56b0504811__u-b9cbe2.pdf,48c2a1d1c1f4da5029c4874ba8115b50ad7f774504561747bdcda63d9f1bc682,688445,4,1 | 2 | 3 | 4,7055,5554,0,False,False,ok,,Newsletter,"Murphy, Tatiana",Microsoft® Word 2016,Microsoft® Word 2016,D:20170228161704+00'00',0.079
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=2ae38a1d_4,2,files\www.centralbank.ie\_long\85e210bd87361f3274d839ac\public-statement-relating-to-settlement-agreement-between-the.pdf,d2ac63e36ac14d1bc7ddad1c778c5699f951081044e3b57c4d0d9345306f948d,253513,1,1,945,766,0,False,False,ok,,Public statement relating to Settlement Agreement between the Central Bank of Ireland and Kevin Lunney former director of Quinn Insurance Limited,Central Bank of Ireland,Microsoft® Word 2016,Microsoft® Word 2016,D:20200902172403+01'00',0.031
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=2be38a1d_4,2,files\www.centralbank.ie\_long\15adda35be66211544599edb\public-statement-relating-to-settlement-agreement-between-the.pdf,9a1abaf414678a6eb7340aa76acdc51f4c7058afedcbf6b3b7c11f09ef3b7a18,251349,1,1,754,608,0,False,False,ok,,Public statement relating to Settlement Agreement between the Central Bank of Ireland and Liam McCaffrey former director of Quinn Insurance Limited,Central Bank of Ireland,Microsoft® Word 2016,Microsoft® Word 2016,D:20200902172455+01'00',0.015
http://www.centralbank.ie/docs/default-source/news-and-media/speeches/181115-governor-lane-geary-lecture-2018---esri.pdf?sfvrsn=2,http://www.centralbank.ie/docs/default-source/news-and-media/speeches/181115-governor-lane-geary-lecture-2018---esri.pdf?sfvrsn=2,1,files\www.centralbank.ie\_long\9f7b6272fa57f9699b7b36e0\181115-governor-lane-geary-lecture-2018---esri__q-4fccbb85c7_.pdf,8e955e86ee5c7003401f0cfd97788fd0d526c82e5b3919cee2ca15ad6aa4e683,615342,20,1 | 6 | 11 | 16 | 20,10464,8596,0,False,False,ok,,,"Lane, Philip",Microsoft® Word 2016,Microsoft® Word 2016,D:20181115141621+00'00',0.094
http://www.centralbank.ie/docs/default-source/publications/Consultation-Papers/cp85/feedback-cp85.pdf,http://www.centralbank.ie/docs/default-source/publications/Consultation-Papers/cp85/feedback-cp85.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp85/feedback-cp85.pdf?sfvrsn=39d2de1d_4,2,files\www.centralbank.ie\docs\default-source\publications\Consultation-Papers\cp85\feedback-cp85__u-2decec3d7ec2.pdf,b93920e2edd82195abadf9feb0474bf1bc067481950117a3c5b289af68d5802c,798471,16,1 | 5 | 9 | 13 | 16,8931,7306,0,False,False,ok,,,Tony Martin,Microsoft® Word 2010,Microsoft® Word 2010,D:20140918121853+01'00',0.156
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf,http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf?sfvrsn=89ccb11d_4,3,files\www.centralbank.ie\_long\8e2bba1b9d3c31d5001a59bb\cp125---consultation-on-potential-changes-to-the-lending-fram.pdf,67935592e5071f8287927f46f865482337d30c7f048dd340b2e3421dede69751,1494629,81,1 | 21 | 41 | 61 | 81,8846,7134,1,False,False,ok,,,"Inglis, Jennifer",Microsoft® Word 2016,Microsoft® Word 2016,D:20181023110929+01'00',0.125
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp148/cp148-consultation-credit-union-exempt-services.pdf?sfvrsn=5,http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp148/cp148-consultation-credit-union-exempt-services.pdf?sfvrsn=5,1,files\www.centralbank.ie\_long\b2bd92c322625c549261084d\cp148-consultation-credit-union-exempt-services__q-f275fd9d97.pdf,13e92906589d19a28e0d2703c9a4e29cfc6313f493494fdf77f5ec84c05d6b42,755869,46,1 | 12 | 24 | 35 | 46,7530,5853,0,False,False,ok,,CP148 - Consultation on Credit Union Exempt Services,Central Bank of Ireland,Acrobat PDFMaker 20 for Word,Adobe PDF Library 20.4.68,D:20220120144138Z,0.079
http://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=2,http://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=2 | https://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf | https://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=2 | https://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=6 | https://www.centralbank.ie/docs/default-source/publications/corporate-reports/behaviour-and-culture-of-the-irish-retail-banks.pdf?sfvrsn=a67eb31d_6,5,files\www.centralbank.ie\_long\4ac9b07d87d529a55c2a832f\behaviour-and-culture-of-the-irish-retail-banks__q-195b027ee8.pdf,2b1644eb1a14550e9463cc3b4b79396c596c48accdf54dc376a6dae8296940cb,775018,52,1 | 14 | 27 | 40 | 52,10130,8228,0,False,False,ok,,Behaviour and Culture of the Irish Retail Banks,Central Bank of Ireland,Microsoft® Word 2016,Microsoft® Word 2016,D:20180711140325+01'00',0.11
