url,source_urls,alias_count,source_file,source_sha256,source_bytes,markdown_file,markdown_bytes,markdown_sha256,engine,engine_version,detected_format,ocr,pages,characters,nonspace_characters,lines,headings,table_rows,replacement_characters,empty_pages,low_text,status,error,seconds
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4,http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/insurance-reinsurance/solvency-ii/requirements-and-guidance/requirement-for-external-audit-of-solvency-ii-regulatory-returns-public-disclosures.pdf?sfvrsn=4,2,files\centralbank.ie\_long\58ae015a9b49b8d7864c8d45\requirement-for-external-audit-of-solvency-ii-regulatory-returns-.pdf,ae0acdc7c1adb5825e55b9bb5cc7ad604f4f8c829613f7daa34bcdde5014b49e,445706,markdown\ae\0a\ae0acdc7c1adb5825e55b9bb5cc7ad604f4f8c829613f7daa34bcdde5014b49e.md,20902,ceba79aaddc93debc6c70eef88f51d12638ee15f614ddd5ff828a78b91a5f02a,pymupdf4llm,1.28.2,,False,13,18924,16155,184,18,36,0,0,False,success,,2.734
http://centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=7,http://centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=7 | https://www.centralbank.ie/docs/default-source/publications/economic-letters/vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-euro-area-(zekaite).pdf?sfvrsn=a9f3841d_7,2,files\centralbank.ie\_long\ccf5b450a424e870b8cb573c\vol-2020-no-6-what-drives-consumers'-inflation-perception-in-the-.pdf,b47b8a16f24a462d2190f92c362545d36a85aefedc1a087b8de424ee77abe2be,1361449,markdown\b4\7b\b47b8a16f24a462d2190f92c362545d36a85aefedc1a087b8de424ee77abe2be.md,43645,cd99ebebd983e5e749ae865eec8c3c13c45fdf12e13159cc4a0854455234202d,pymupdf4llm,1.28.2,,False,16,41591,34989,293,12,0,0,0,False,success,,4.625
http://centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf,http://centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf | https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/qb-archive/2017/quarterly-bulletin-no-2-2017.pdf?sfvrsn=6747a01d_13 | https://www.centralbank.ie/docs/default-source/publications/quarterly-bulletins/quarterly-bulletin-no-2-2017.pdf?sfvrsn=11,3,files\centralbank.ie\_long\a6cb8e1bafabada603dcf35c\quarterly-bulletin-no-2-2017__u-a6cb8e1bafab.pdf,bd3bfa1a5b63f640a7f576d847cd76ea408896f48cf1e83ef21603b7e36f220d,3567239,markdown\bd\3b\bd3bfa1a5b63f640a7f576d847cd76ea408896f48cf1e83ef21603b7e36f220d.md,303194,5afff61b1503b524e4edc09dcde80ee3853f5fb4f287e7236fc3a7f1e50c5395,pymupdf4llm,1.28.2,,False,103,295094,248744,2552,125,204,0,3,False,success,,29.141
http://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/bank-balance-sheets/money-and-banking-statistics-january-2017.pdf?sfvrsn=7,http://centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/bank-balance-sheets/money-and-banking-statistics-january-2017.pdf?sfvrsn=7,1,files\centralbank.ie\_long\b9cbe2e99ef9e7ba513f0033\money-and-banking-statistics-january-2017__q-56b0504811__u-b9cbe2.pdf,48c2a1d1c1f4da5029c4874ba8115b50ad7f774504561747bdcda63d9f1bc682,688445,markdown\48\c2\48c2a1d1c1f4da5029c4874ba8115b50ad7f774504561747bdcda63d9f1bc682.md,7428,9be9367d4adf989269ad1874ec0663625b958cd90d1e8225475b8ce748190ec3,pymupdf4llm,1.28.2,,False,4,6266,5186,113,7,0,0,0,False,success,,0.797
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-kevin-lunney-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=2ae38a1d_4,2,files\www.centralbank.ie\_long\85e210bd87361f3274d839ac\public-statement-relating-to-settlement-agreement-between-the.pdf,d2ac63e36ac14d1bc7ddad1c778c5699f951081044e3b57c4d0d9345306f948d,253513,markdown\d2\ac\d2ac63e36ac14d1bc7ddad1c778c5699f951081044e3b57c4d0d9345306f948d.md,2426,b503eebc95ff13fcbcfbbe62e7fdfd91b1b991c0102b2fa28a659250a65cfc91,pymupdf4llm,1.28.2,,False,1,947,793,12,4,0,0,0,False,success,,0.141
http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4,http://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/news-and-media/legal-notices/settlement-agreements/public-statement-relating-to-settlement-agreement-between-the-central-bank-of-ireland-and-liam-mccaffrey-former-director-of-quinn-insurance-limited-(under-administration).pdf?sfvrsn=2be38a1d_4,2,files\www.centralbank.ie\_long\15adda35be66211544599edb\public-statement-relating-to-settlement-agreement-between-the.pdf,9a1abaf414678a6eb7340aa76acdc51f4c7058afedcbf6b3b7c11f09ef3b7a18,251349,markdown\9a\1a\9a1abaf414678a6eb7340aa76acdc51f4c7058afedcbf6b3b7c11f09ef3b7a18.md,2242,507fcb181976492e1622208b8b6240c35d13e749754a6409a3490fd1b2954797,pymupdf4llm,1.28.2,,False,1,759,634,12,3,0,0,0,False,success,,0.109
http://www.centralbank.ie/docs/default-source/news-and-media/speeches/181115-governor-lane-geary-lecture-2018---esri.pdf?sfvrsn=2,http://www.centralbank.ie/docs/default-source/news-and-media/speeches/181115-governor-lane-geary-lecture-2018---esri.pdf?sfvrsn=2,1,files\www.centralbank.ie\_long\9f7b6272fa57f9699b7b36e0\181115-governor-lane-geary-lecture-2018---esri__q-4fccbb85c7_.pdf,8e955e86ee5c7003401f0cfd97788fd0d526c82e5b3919cee2ca15ad6aa4e683,615342,markdown\8e\95\8e955e86ee5c7003401f0cfd97788fd0d526c82e5b3919cee2ca15ad6aa4e683.md,47491,484ce49db0e7f14d43d6f3fe2675546eea9623f692243ef7d2e48c69be1fc440,pymupdf4llm,1.28.2,,False,20,45520,38575,289,5,0,0,0,False,success,,3.047
http://www.centralbank.ie/docs/default-source/publications/Consultation-Papers/cp85/feedback-cp85.pdf,http://www.centralbank.ie/docs/default-source/publications/Consultation-Papers/cp85/feedback-cp85.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp85/feedback-cp85.pdf?sfvrsn=39d2de1d_4,2,files\www.centralbank.ie\docs\default-source\publications\Consultation-Papers\cp85\feedback-cp85__u-2decec3d7ec2.pdf,b93920e2edd82195abadf9feb0474bf1bc067481950117a3c5b289af68d5802c,798471,markdown\b9\39\b93920e2edd82195abadf9feb0474bf1bc067481950117a3c5b289af68d5802c.md,35449,4a4b0a260e46ae1aa57435cb5244e1d05cae1fa8852e343f1ac8e1c9c5e3cbbd,pymupdf4llm,1.28.2,,False,16,33789,28198,215,5,5,0,0,False,success,,2.656
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf,http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf | https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp125/cp125---consultation-on-potential-changes-to-the-lending-framework-for-credit-unions.pdf?sfvrsn=89ccb11d_4,3,files\www.centralbank.ie\_long\8e2bba1b9d3c31d5001a59bb\cp125---consultation-on-potential-changes-to-the-lending-fram.pdf,67935592e5071f8287927f46f865482337d30c7f048dd340b2e3421dede69751,1494629,markdown\67\93\67935592e5071f8287927f46f865482337d30c7f048dd340b2e3421dede69751.md,193556,2bd0d9943af0a845e224baac21044bfeb75734aef52dcb969bd89b8723ea9da8,pymupdf4llm,1.28.2,,False,81,187815,158254,1853,123,288,0,1,False,success,,17.375
http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp148/cp148-consultation-credit-union-exempt-services.pdf?sfvrsn=5,http://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp148/cp148-consultation-credit-union-exempt-services.pdf?sfvrsn=5,1,files\www.centralbank.ie\_long\b2bd92c322625c549261084d\cp148-consultation-credit-union-exempt-services__q-f275fd9d97.pdf,13e92906589d19a28e0d2703c9a4e29cfc6313f493494fdf77f5ec84c05d6b42,755869,markdown\13\e9\13e92906589d19a28e0d2703c9a4e29cfc6313f493494fdf77f5ec84c05d6b42.md,115980,8b344f4d18b6a8f6fb2a984a899ed7aa6a1571b4af6e24fa3568481a91f6c787,pymupdf4llm,1.28.2,,False,46,112513,94989,1040,56,125,0,0,False,success,,9.578
