url,source_urls,alias_count,source_file,source_sha256,source_bytes,format,pipeline_version,markdown_file,markdown_bytes,markdown_sha256,engine,page_basis,pages,characters,nonspace_characters,lines,replacement_characters,empty_pages,low_text,max_page_characters,repeated_line_share,source_text_characters,output_expansion_ratio,status,error,format_mismatch
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/investment-firms/f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695.doc?sfvrsn=2,http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/investment-firms/f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695.doc?sfvrsn=2 | https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/investment-firms/f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695.doc?sfvrsn=2 | https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/investment-firms/documents-for-privacy-notice-gdpr/f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695.doc?sfvrsn=bbb7ad1d_4,3,files\centralbank.ie\_long\558c7dbf8370bb1a90541635\f-and-p-iq-april-201606f4cf134644629bacc1ff0000269695__q-4fccbb85.doc,5f53c0752e82da975b9e76320fcc43aa51fe34e6b87fd0205527a2c2d75264ec,655360,DOC,,markdown/5f/53/5f53c0752e82da975b9e76320fcc43aa51fe34e6b87fd0205527a2c2d75264ec.md,26756,57e0ba1a933bfe4ecf9a767b3b82d0e66733ea2eda73353b267a31d4aab306d2,libreoffice-headless version-unrecorded-pre-v5.2,single-pseudo-page,1,25140,20030,500,0,0,False,,,,,success,,
http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/payment-institutions/authorisation-process/electronic-communications-exclusion-notification-v2-2.docx?sfvrsn=8,http://centralbank.ie/docs/default-source/Regulation/industry-market-sectors/payment-institutions/authorisation-process/electronic-communications-exclusion-notification-v2-2.docx?sfvrsn=8 | https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/payment-institutions/authorisation-process/electronic-communications-exclusion-notification-v2-2.docx?sfvrsn=dd00ae1d_10,2,files/centralbank.ie/_long/3cb874056b1fe76097ecb2a3/electronic-communications-exclusion-notification-v2-2__q-8f51900.docx,966cc2aac53412c33aedc2027124423d293ea654d2ae0d1d0e56cb91b19064ff,352811,DOCX,office-0.3.0,markdown/96/6c/966cc2aac53412c33aedc2027124423d293ea654d2ae0d1d0e56cb91b19064ff.md,13905,4d5fdda22aea84bdd1f77f8ad9ebab52437ff16586f0318010520363f926e559,ooxml-body-order 1.0,explicit-page-break,7,12292,10248,204,0,0,False,3189,0.0134,12102,1.0152,success,,
http://centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/aifm/aifm/forms/business-plan-checklist.doc?sfvrsn=4,http://centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/aifm/aifm/forms/business-plan-checklist.doc?sfvrsn=4 | https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/aifm/forms/business-plan-checklist.doc?sfvrsn=77b8a21d_4,2,files\centralbank.ie\_long\e53f7115f18359df53c2d4bd\business-plan-checklist__q-dd2b33c369__u-e53f7115f183.doc,99769481b0af8971d8a094ec8c6d920b589534952ab6fc81904130e205dd451f,548352,DOC,,markdown/99/76/99769481b0af8971d8a094ec8c6d920b589534952ab6fc81904130e205dd451f.md,8582,3ef3c3d025f791ac4a80c7cd6609865c157ed207434806a80ed00e72a4eafcbf,libreoffice-headless version-unrecorded-pre-v5.2,single-pseudo-page,1,7291,5780,144,0,0,False,,,,,success,,
https://centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/investment-manager-clearance-checklist-sept-2024.docx,https://centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds-service-providers/investment-manager-clearance-checklist-sept-2024.docx,1,files/centralbank.ie/_long/61c6eefa06059cb65bf12e74/investment-manager-clearance-checklist-sept-2024__u-61c6eefa0605.docx,db8e5c40cf78feacc5f22fc3d657ec9aa12877d5e4f18728e956801d99c519ea,97549,DOCX,office-0.3.0,markdown/db/8e/db8e5c40cf78feacc5f22fc3d657ec9aa12877d5e4f18728e956801d99c519ea.md,6026,121af90a6b8853d45476a5f4acd8871dd31ac2dfe22fee1c381365a52bbfa2ba,ooxml-body-order 1.0,explicit-page-break,2,4938,4160,71,0,0,False,2802,0.0,4792,1.0303,success,,
https://centralbank.ie/docs/default-source/regulation/industry-market-sectors/retail-credit-home-reversion-firms/authorisation-process/retail-credit-home-reversion-firm-application-for-authorisation.docx,https://centralbank.ie/docs/default-source/regulation/industry-market-sectors/retail-credit-home-reversion-firms/authorisation-process/retail-credit-home-reversion-firm-application-for-authorisation.docx,1,files/centralbank.ie/_long/4224726b82b729556994ee3c/retail-credit-home-reversion-firm-application-for-authorisation_.docx,74b7bf602e034e48a32441285c682716b45a7fc6762316e247524a5020538dda,304500,DOCX,office-0.3.0,markdown/74/b7/74b7bf602e034e48a32441285c682716b45a7fc6762316e247524a5020538dda.md,90335,1beb3faacae7d1845006033437f8a7aa92a5e9524af25a89c0f0040e12bcd892,ooxml-body-order 1.0,explicit-page-break,4,88887,71647,542,0,0,False,81338,0.0261,80667,1.1019,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/amlcft-pre-authorisation-requirements-for-payment-and-electronic-money-institutions.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/amlcft-pre-authorisation-requirements-for-payment-and-electronic-money-institutions.docx,1,files/www.centralbank.ie/_long/2eeff169e6f647b1d407fe06/amlcft-pre-authorisation-requirements-for-payment-and-electr.docx,ebfddaf3b3cb3e2958e98ade66258b18e78ecc211c4b59bf2a08c321a2969e27,294727,DOCX,office-0.3.0,markdown/eb/fd/ebfddaf3b3cb3e2958e98ade66258b18e78ecc211c4b59bf2a08c321a2969e27.md,28387,5476a13026a02a7d4cd75c02550cee6b2aff0ed388ea62a55754238bf3b54238,ooxml-body-order 1.0,explicit-page-break,10,26629,21859,348,0,0,False,8340,0.0023,24929,1.0678,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-director-with-a-qualifying-holding.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-director-with-a-qualifying-holding.docx,1,files/www.centralbank.ie/_long/7c57c7db47b9f8eb36cad760/application-for-director-with-a-qualifying-holding__u-7c57c7.docx,7eab9197b04236e7a525fb275b2d7f4dabb610efd8417202f76ee1752f1628a2,326113,DOCX,office-0.3.0,markdown/7e/ab/7eab9197b04236e7a525fb275b2d7f4dabb610efd8417202f76ee1752f1628a2.md,14685,99422c86cdaf583f6c78b2bfa9ae79764336e15fb38a67042554e01077255f96,ooxml-body-order 1.0,explicit-page-break,11,13110,10891,216,0,0,False,2101,0.0026,12652,1.0354,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-legal-person-or-other-with-a-qualifying-holding.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-legal-person-or-other-with-a-qualifying-holding.docx,1,files/www.centralbank.ie/_long/ba069e33d66b1c563e3982f0/application-for-legal-person-or-other-with-a-qualifying-hold.docx,9b52452148a83fd81740d1d47547fd1061950015ef43107fc4476ef848bcb494,340574,DOCX,office-0.3.0,markdown/9b/52/9b52452148a83fd81740d1d47547fd1061950015ef43107fc4476ef848bcb494.md,23940,0aec3df775c0c54a9c4d66dae7dabb2b950be587429fe8ea433190b772e4ac94,ooxml-body-order 1.0,explicit-page-break,12,22212,18279,341,0,0,False,4565,0.0034,21448,1.0351,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-natural-person-with-a-qualifying-holding.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-natural-person-with-a-qualifying-holding.docx,1,files/www.centralbank.ie/_long/761de6b81ac9e678d038e9da/application-for-natural-person-with-a-qualifying-holding__u-.docx,f0e69d9c82513d15083099a7e57047290c27c82c19a20f880e6585dd01f30edd,332792,DOCX,office-0.3.0,markdown/f0/e6/f0e69d9c82513d15083099a7e57047290c27c82c19a20f880e6585dd01f30edd.md,19354,8847ec885297e9d5cf69ce10c7b2ac69818bde10b00c07dfbebe4e314b96db03,ooxml-body-order 1.0,explicit-page-break,11,17716,14698,301,0,0,False,2997,0.0019,17104,1.0352,success,,
https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-registration-as-an-account-information-service-provider.docx,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/Electronic-Money-Institutions/Forms/application-for-registration-as-an-account-information-service-provider.docx | https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/electronic-money-institutions/forms/application-for-registration-as-an-account-information-service-provider.docx?sfvrsn=b0caf1d_7,2,files/www.centralbank.ie/_long/2a9a1e5fcd52ffee270f6b89/application-for-registration-as-an-account-information-servi.docx,e75e3c7c5fb04a3f220efaf96df8beb6fb5e45ce10168314f9a1bef7b1727ae9,325863,DOCX,office-0.3.0,markdown/e7/5e/e75e3c7c5fb04a3f220efaf96df8beb6fb5e45ce10168314f9a1bef7b1727ae9.md,33689,3bde5188bd63335697f1b1617de422246ae2dda35f8c21cf15c9f28957f3497e,ooxml-body-order 1.0,explicit-page-break,9,31889,26888,481,0,0,False,19160,0.0606,31216,1.0213,success,,
