source_sha256,gold_authorship,evidence_basis,review_notes
94dbebea993be5dd659aaea07891be2cb31d39cc4807b34d12407cac4250009a,central-bank,manual-opening-page-review,CBI authorised-funds statistical list
71bb6906c4a860fcce309b864c83fd98899f88158c793f8373cb58457370010e,central-bank,manual-opening-page-review,CBI technical note supplied to an Oireachtas member
c669d88c6bcdd66e5e57781d43df480b9b707dc7d445831c4d445ae45be00167,central-bank,manual-opening-page-review,CBI annual report in Irish
1fc7c9e538460cbad13c0bee75aba6de75f3b5b7b4f68624f6c2c35ab72001b4,central-bank,manual-opening-page-review,CBI Economic Letter
42e39273b48a55435b435d9da785fd264f66f90507d246c1e28c126e2a000246,central-bank,manual-opening-page-review,CBI thematic assessment
9d2dc3a49fcad2a06a9413302d772f46b39401d172cd4a427ff806611b9002a1,central-bank,manual-opening-page-review,CBI revocation application form
4f03775429a1c51c6955b2922335c4b33c19cdb5676d7f51ba45067792400335,central-bank,manual-opening-page-review,CBI research article
bf0a9a35b7072a66c5c0d649caecb436181b9beb26760489fd58d0ee417007ae,central-bank,manual-opening-page-review,CBI consumer information transcript
2e9bd0d2266cddd2fabc303ea9c8b920716ed803a4a79953e72e76e5a3d00850,central-bank,manual-opening-page-review,CBI research technical paper
0a3cfd5ee401c92ba0feec11b863798c44964325767c6de4f7196bba50e00896,central-bank,manual-opening-page-review,CBI thematic report
b445cc62821bb1d5f50a9191e2a440a971de0b535b56348c4cf4982d459002f0,stakeholder,manual-opening-page-review,Financial-services firm submission to CP63
8c057c68006f060927d77d57c36cf7e5d4063ac66e912ffb0c34d288da8002f3,stakeholder,manual-opening-page-review,Credit-union response to CP88
bf8ac40386665d7aa84d6c5e37f3bfbc339a17c704c2c8a68aaa8e1756d00580,stakeholder,manual-opening-page-review,IFDS letter responding to CP97
dc123e59779542902c8f634cf7d24a5e3fdd4fd735e14e07c42944c375100588,stakeholder,manual-opening-page-review,Named individuals' submission to CP47
66649c3de230c20733c119775e7c9ed68d65df2cc74e4be825758f9bc8600801,stakeholder,manual-opening-page-review,Bank of Ireland submission to CP47
528023f2515d79b9456756af5b300fa8aab2906c517aa0ff87eb1db87de00b4a,stakeholder,manual-opening-page-review,Dillon Eustace response to CP71
18950332b8194abe19819df8de43e56b932605453e65a4ded1029b1e0e800bc6,stakeholder,manual-opening-page-review,Credit-union submission to CP93
fbb75550c74b215a54a4e1924be7690cdea55e2012a12da95f380eed8b200dda,stakeholder,manual-opening-page-review,Maples response to CP162
0298928781d9a043d5ea38eaa347ee3b76e2c19d8d4faa8beedc268dbb201071,stakeholder,manual-opening-page-review,Individual response to a CBI discussion paper
d706b1ba12837d7e8ea0ade5ac9b1aaf1b3283b007149237716787e140c01495,stakeholder,manual-opening-page-review,Adrian Lee and Partners response to CP120
5baf2b8bdfae870923d4fa3bf369867a875f37e3e5f9c023e507ae063cc01d1b,stakeholder,manual-opening-page-review,MABS submission to CP32; previously unresolved
61f5d112f2bf2099c24f77273da6d4db7958fa5fb03e70eb4ab5dcb26da02966,stakeholder,manual-opening-page-review,AIMA response to CP60; previously unresolved
5aa4c2225eb9e566325f4551e199d0413d1ca60fdc4cca6270dffbab37e036ff,stakeholder,manual-opening-page-review,Irish Stock Exchange response to CP60; previously unresolved
a5dbc1c25c90f10f32355608ce7e7bbc3f467aa7499c31066f122c9b52403d13,stakeholder,manual-opening-page-review,Hibernian Aviva submission; previously unresolved
7a575428b4f881c377e670223a4894f98daca6b5376860ca56bb4890c3705c03,central-bank,manual-opening-page-review,CBI CP87 consultation paper; previously unresolved
dfc4f0dda0a9b8add4cdf820a97dcd144cc4c92f3ffdb2971a98a7248df0e2f9,central-bank,manual-opening-page-review,CBI frequently asked questions; previously unresolved
2cf4ce3aa773545378b7dd9ae685e4cf59cd0c9f557ab506001595ce3f80feb1,stakeholder,manual-opening-page-review,Covestone comments on the auditor protocol; previously unresolved
3200d797d9fc906d72548ae25692dc0f578b690794058b7223c56ff9d1411461,stakeholder,manual-opening-page-review,Individual email responding to CP32; previously unresolved
f15a15cad0d1ef41fe8667e5dac028f98c65abd902afd9981857afc4eaf1451f,stakeholder,manual-opening-page-review,Individual adviser response to CP37; previously unresolved
3aa7e0da7d29ce96f2223c1a3bef3f02f432b19fd801e151e59bb939c0a7cb5c,mixed,manual-full-document-review,CBI framing on pages 1-5 and stakeholder submissions on pages 6-114
effda36409d5bc0265c4d34b454badb00dddf7ee0cf86e004fb51427e968db82,stakeholder,manual-opening-page-review,Joint credit-union-sector submission on the 2024 lending framework review
a7791ee4069d523af5fa779277625a6a390f442ce9ae138f7e59c9efdc543bb6,stakeholder,manual-opening-page-review,Collaborative Finance CLG submission on the 2024 lending framework review
