document_id,source_sha256,authorship,institutional_voice,voice_review_status,document_class,consultation_id,title,source_url,ppsn,iban,email_personal,email_any,phone_ie,dob,signature,home_address,personal_capacity,signal_count
cbi:2231e61892495b5269bda4b1270be6486a75c757783394aec315ec444f3a5ab4,2231e61892495b5269bda4b1270be6486a75c757783394aec315ec444f3a5ab4,unresolved,unknown,unreviewed,cbi-regulatory-material,,Feedback on Desk Based Review on Governance of Error's processes Within Banks and Insurers - December 2015,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/compliance-monitoring/reviews-and-research/gns4-2-1-1-rev-gov-of-errs-procs-bksinss.pdf?sfvrsn=7ced61d_8,0,0,2,2,2,0,1,0,0,4
cbi:cbb8588799a5e7c5b9b255d5d202c90bef46e202165c5a4c44e46883677d0752,cbb8588799a5e7c5b9b255d5d202c90bef46e202165c5a4c44e46883677d0752,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp46,RI Retail Letterhead,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp46/cp46-submission-from-ulster-bank-group.pdf?sfvrsn=3499df1d_2,0,0,1,1,3,0,2,0,0,4
cbi:74ddd8e1b6b8403a3c15d00f8e3b766eb1556537963b57de863d349dfaca8f31,74ddd8e1b6b8403a3c15d00f8e3b766eb1556537963b57de863d349dfaca8f31,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp63,uPATRICK F O’REILLY & CO/u SOLICITORS,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp63/patrick-f-o'reilly-and-co-solicitors-submission.pdf?sfvrsn=ee8fd51d_0,0,0,1,3,3,0,1,0,0,4
cbi:6e7e497287fbec4d543835bc635fe45328c146025f32a5abdabad2090a5257b5,6e7e497287fbec4d543835bc635fe45328c146025f32a5abdabad2090a5257b5,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp76,Dear Sir,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp76/coolock-artane-credit-union-response-to-cp76.pdf?sfvrsn=503bd81d_4,0,0,1,1,3,0,1,0,0,4
cbi:778637ba0a8fb37158bf325234f2e99c7f210b706349773f174277fd43bdd001,778637ba0a8fb37158bf325234f2e99c7f210b706349773f174277fd43bdd001,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp46,TERENCEFLANAGAN TD,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp46/cp46-submission-from-terence-flanagan-td.pdf?sfvrsn=c799df1d_2,0,0,1,1,2,0,1,0,0,4
cbi:96f5d669335d92f3d20b5c135199a6dac651bdb263600c93585f551bdcf22101,96f5d669335d92f3d20b5c135199a6dac651bdb263600c93585f551bdcf22101,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp47,"Yours sincerely,",https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp47/cp47-submission-from-ecclesiastical-insurance-office-plc.pdf?sfvrsn=979ddf1d_2,0,0,1,2,2,0,1,0,0,4
cbi:c5a812e7ff36a45d00532842faf4bb6dbc74d40fe63f592c62081245e6b4defd,c5a812e7ff36a45d00532842faf4bb6dbc74d40fe63f592c62081245e6b4defd,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp114,AVIVA,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp114/aviva-response-to-cp114.pdf?sfvrsn=f9d9b31d_2,0,0,1,2,1,0,1,0,0,4
cbi:14e4205bf604a1a9d523061d6c32b039ccf0fd38be996f72b947b587619653f1,14e4205bf604a1a9d523061d6c32b039ccf0fd38be996f72b947b587619653f1,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp43,cp43 cover e mail from the office of the director of corporate enforcement,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp43/cp43-cover-e-mail-from-the-office-of-the-director-of-corporate-enforcement.pdf?sfvrsn=92a2df1d_2,0,0,1,1,1,0,1,0,0,4
cbi:4d4c744d38ac8692687848cf49267558b88a14d552070424b3c6472c5f2ee95d,4d4c744d38ac8692687848cf49267558b88a14d552070424b3c6472c5f2ee95d,stakeholder,stakeholder,rule-classified,stakeholder-consultation-submission,cp45,AIB,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp45/cp45-submission-from-aib.pdf?sfvrsn=d6a6df1d_2,0,0,1,1,1,0,1,0,0,4
cbi:a2681f568e8900270c85cbadbb3ef8a8648f42abb47663cb02d89c9efd30c43b,a2681f568e8900270c85cbadbb3ef8a8648f42abb47663cb02d89c9efd30c43b,unresolved,unknown,unreviewed,cbi-regulatory-material,,Industry letter issued to Credit Institutions on charging costs with the legal process and other third party charges to ,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/other-codes-of-conduct/industry-letter-issued-to-credit-institutions-on-charging-costs-with-the-legal-process-and-other-third-party-charges-to-borrowers-in-mortgage-arrears.pdf?sfvrsn=9cae821d_2,0,0,1,1,1,0,1,0,0,4
cbi:525a431c0d06ac6de5ee5e40cb12f79a192f406e45cd80c1ba3ec14feef98f72,525a431c0d06ac6de5ee5e40cb12f79a192f406e45cd80c1ba3ec14feef98f72,unresolved,unknown,unreviewed,cbi-regulatory-material,,Industry letter issued to Credit Servicing Firms on charging costs with the legal process and other third party charges ,https://www.centralbank.ie/docs/default-source/regulation/consumer-protection/other-codes-of-conduct/industry-letter-issued-to-credit-servicing-firms-on-charging-costs-with-the-legal-process-and-other-third-party-charges-to-borrowers-in-mortgage-arrears.pdf?sfvrsn=9dae821d_2,0,0,1,1,1,0,1,0,0,4
