document_id,source_sha256,page_number,characters,method,authorship,title
cbi:88b7974b60189f6233dc7e3740fc29265a9e234db606fda1f6b59272c0f88305,88b7974b60189f6233dc7e3740fc29265a9e234db606fda1f6b59272c0f88305,21,81,ocr,central-bank,internal-disclosures-policy
cbi:8b042425ce8ee9d97452352d6f44acd71a8504cfd8c4c2c4c404966cb680b4d0,8b042425ce8ee9d97452352d6f44acd71a8504cfd8c4c2c4c404966cb680b4d0,1,143,ocr,central-bank,2017 Review of Mortgage Market Measures
cbi:d23eb30afc652ba05ab27935f468cb2f907ba3b24ab78d8960383b540fcb3c39,d23eb30afc652ba05ab27935f468cb2f907ba3b24ab78d8960383b540fcb3c39,1,88,ocr,central-bank,2018 Review of Mortgage Market Measures
cbi:8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,10,1887,ocr,central-bank,Determination re Procedure for Identifying Witnesses and Obtaining Statement
cbi:8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,11,905,ocr,central-bank,Determination re Procedure for Identifying Witnesses and Obtaining Statement
cbi:8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,8de6b68ce0b7036586b562e60c70e2d2bc780f242fc8755d3cb6ddf44f9fbbb9,12,1625,ocr,central-bank,Determination re Procedure for Identifying Witnesses and Obtaining Statement
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,2,2007,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,3,3078,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,4,2364,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,5,2846,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,6,2810,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,7,2629,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,8,2329,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,9,3108,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,10,3139,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,11,3215,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,12,3176,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,13,2146,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,14,3386,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,15,2645,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,122b0bd1c9758149fd4b2617bf791f3e1deba7941b4d8a30dc41c9870de89160,16,2378,ocr,central-bank,Prohibition Notice  Michael Kearns (redactions highlighted).pdf
cbi:aed32362f1207b2ef6087407bf359043508c17108d6a0c5a8f598d71a34e4420,aed32362f1207b2ef6087407bf359043508c17108d6a0c5a8f598d71a34e4420,8,1,ocr,central-bank,"Protecting Consumers, Investors and SMEs during Covid-19"
cbi:4491c37b0cefe741c4a4ae95489c15ab8daf142c6ca230a0c4eab53b1d8e3611,4491c37b0cefe741c4a4ae95489c15ab8daf142c6ca230a0c4eab53b1d8e3611,4,86,ocr,central-bank,‘’
cbi:7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,17,1,ocr,central-bank,Annexes
cbi:7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,18,38,ocr,central-bank,Annexes
cbi:7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,19,7,ocr,central-bank,Annexes
cbi:7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,7b28740fc75559f930b46ec9b07187bd90d1c46a70787b3262dfdd26c3d023ce,31,7,ocr,central-bank,Annexes
cbi:3cac5fb98327a328e1c8a5bf839f360f4b3b935ac076490c691a045b709f1838,3cac5fb98327a328e1c8a5bf839f360f4b3b935ac076490c691a045b709f1838,25,2,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:3cac5fb98327a328e1c8a5bf839f360f4b3b935ac076490c691a045b709f1838,3cac5fb98327a328e1c8a5bf839f360f4b3b935ac076490c691a045b709f1838,38,37,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,55,2,ocr,central-bank,Circulated to Commission Members on 16 June 2017
cbi:d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,56,37,ocr,central-bank,Circulated to Commission Members on 16 June 2017
cbi:d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,d4cb9fc067ef4d3a3694eaa359dd9ffe88799c5d6a6b355186718df556cd0027,57,2,ocr,central-bank,Circulated to Commission Members on 16 June 2017
cbi:d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,52,37,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,56,37,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,d990f889928b1687c014903d854331e6fde3b735fb8b343da23fd7b487663ad8,59,2,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:5f9696c26a3d7c9ee496b49a5d765f6c0337c30d59bb6907886c50b12a63bdd2,5f9696c26a3d7c9ee496b49a5d765f6c0337c30d59bb6907886c50b12a63bdd2,39,2,ocr,central-bank,CENTRAL BANK OF IRELAND
cbi:5f9696c26a3d7c9ee496b49a5d765f6c0337c30d59bb6907886c50b12a63bdd2,5f9696c26a3d7c9ee496b49a5d765f6c0337c30d59bb6907886c50b12a63bdd2,41,2,ocr,central-bank,CENTRAL BANK OF IRELAND
