source_sha256,title,source_url,source_page_url,source_format,document_class,document_role,consultation_id,engagement_id,authorship,legacy_authorship,institutional_voice,voice_review_status,voice_evidence,classification_basis,classification_confidence,author_org,page_count,scope_reason,review_state,reviewer_1_voice,reviewer_1_evidence,reviewer_2_voice,reviewer_2_evidence,resolution,resolution_notes
0298928781d9a043d5ea38eaa347ee3b76e2c19d8d4faa8beedc268dbb201071,Response to CBI paper on Risk Appetite,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-4/brian-woods---response-to-risk-appetite-discussion-paper.pdf?sfvrsn=9616d81d_2,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-4---risk-appetite-discussion-paper,pdf,stakeholder-discussion-submission,consultation-submission,,dp4,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,7,discussion-paper population,pending-independent-review,,,,,,
04e207b0051259f93c41baacac3fd3b9f1eaa6b1d9bee6525b7e8a862570c2f4,EBA BS xx Draft Annex III (Draft CP on Amending ITS on Supervisory Disclosure).xlsx,https://www.centralbank.ie/docs/default-source/regulation/how-we-regulate/supervision/rules-and-guidance/gns-4-1-2-2-1-waivers.pdf?sfvrsn=ee7ed61d_23,https://www.centralbank.ie/regulation/how-we-regulate/supervision/supervisory-disclosures/rules-and-guidance,pdf,cbi-regulatory-material,regulatory-material,,,unresolved,central-bank,unknown,unreviewed,centralbank.ie host path is not authorship evidence,host-path-only:non-consultation,low,,1,unknown external-authority or tribunal candidate,pending-independent-review,,,,,,
055934c1400836d9815e3d1e2e9db52c3f7ec982e3db7f356b7909293648d80a,ss7c,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-8/ss-c-response-to-dp8.pdf?sfvrsn=b796b91d_3,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-8---outsourcing---findings-and-issues-for-discussion,pdf,stakeholder-discussion-submission,consultation-submission,,dp8,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,1,discussion-paper population,pending-independent-review,,,,,,
05def93280dd73b5dd1118445c7cee74858451a24cf730053fbe458018c932c5,linkresq response to risk appetite discussion paper,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-4/linkresq---response-to-risk-appetite-discussion-paper.pdf?sfvrsn=af16d81d_2,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-4---risk-appetite-discussion-paper,pdf,stakeholder-discussion-submission,consultation-submission,,dp4,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,11,discussion-paper population,pending-independent-review,,,,,,
061d10c44a375af5066c2bf534222bd02b316d283bac3d538bbd295c12b26411,Sage Submission on,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-7/sage-response-to-dp7.pdf?sfvrsn=8015b21d_2,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-7---digitalisation-and-consumer-protection-code,pdf,stakeholder-discussion-submission,consultation-submission,,dp7,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,3,discussion-paper population,pending-independent-review,,,,,,
0774dafe783675707b4b6c304983a08867be816bcbed165787b342a769d72f16,CBoI Discussion Paper Response,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-8/dvv-solutions-response-to-dp8.pdf?sfvrsn=fb94b91d_2,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-8---outsourcing---findings-and-issues-for-discussion,pdf,stakeholder-discussion-submission,consultation-submission,,dp8,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,8,discussion-paper population,pending-independent-review,,,,,,
089b459ebb63d558528c1fa90aeb691bfbb222110bfb1b54bb75ed9cd2f89f97,11 August 2017,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-6/vanguard-group-response-etf-discussion-paper.pdf?sfvrsn=6f44ab1d_0,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-6---exchange-traded-funds,pdf,stakeholder-discussion-submission,consultation-submission,,dp6,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,22,discussion-paper population,pending-independent-review,,,,,,
09b74c2d588d6135145851b41ea60d3ae1e1206fa0ba817039542968f58b89a9,"08RT23 Macroeconomics Effects of Carbon Transition Policies, An Assessment Based on the ECB's New Area-Wide Model with a Disaggregated Energy Sector (Coenan, Lozej and Priftis)",https://www.centralbank.ie/docs/default-source/publications/research-technical-papers/macroeconomics-effects-of-carbon-transition-policies.pdf?sfvrsn=31549c1d_10,https://www.centralbank.ie/financial-system/climate-change,pdf,cbi-research,research-paper,,,unresolved,central-bank,unknown,unreviewed,centralbank.ie host path is not authorship evidence,host-path-only:non-consultation,low,,70,unknown external-authority or tribunal candidate,pending-independent-review,,,,,,
0a504c3d2312edd400858445cdc7c12f26d18cd0d5f745508368bf5a9f27d4db,ICMA AMIC Response to Central Bank of Ireland Discussion Paper on ETFs,https://www.centralbank.ie/docs/default-source/publications/discussion-papers/discussion-paper-6/icma-amic-response-etf-discussion-paper.pdf?sfvrsn=cdbbaa1d_0,https://www.centralbank.ie/publication/discussion-papers/discussion-paper-6---exchange-traded-funds,pdf,stakeholder-discussion-submission,consultation-submission,,dp6,stakeholder,stakeholder,stakeholder,rule-classified,filename-attribution:response,filename-attribution:response,high,,6,discussion-paper population,pending-independent-review,,,,,,
0a528fe34a27108ca1b55c1b23377ebc2ee27629daf76b85612c67ba6b15da05,Consultation Paper CP 56,https://www.centralbank.ie/docs/default-source/publications/consultation-papers/cp56/robert-t-r-woods.pdf?sfvrsn=defd51d_0,https://www.centralbank.ie/publication/consultation-papers/cp56-protocol-between-the-central-bank-of-ireland-and-the-auditors-of-regulated-financial-service-providers,pdf,stakeholder-consultation-submission,consultation-submission,cp56,cp56,stakeholder,stakeholder,stakeholder,rule-classified,content-stakeholder(4v1):dear sir;yours faithfully,content-stakeholder(4v1):dear sir;yours faithfully,medium,,2,content-scored consultation edge case,pending-independent-review,,,,,,
