metric,period,value,unit,source_url,note
Fraudulent payment value,2024,160.0,EUR million,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/payment-fraud-statistics/payment-fraud-statistics-202485f0d58e-4a6d-4a27-aed4-03717c7bdcd7.pdf?sfvrsn=3a96e1a_1,CBI release p1
Final booked payment-fraud loss,2024,66.4,EUR million,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/payment-fraud-statistics/payment-fraud-statistics-202485f0d58e-4a6d-4a27-aed4-03717c7bdcd7.pdf?sfvrsn=3a96e1a_1,Distinct from fraudulent payment value; CBI release pp8-9
Payment-fraud transaction volume,2024,815.0,thousand,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/payment-fraud-statistics/payment-fraud-statistics-202485f0d58e-4a6d-4a27-aed4-03717c7bdcd7.pdf?sfvrsn=3a96e1a_1,CBI release p1
PDH accounts in arrears,2026-Q1,34996,accounts,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/mortgage-arrears/2026-q1-release.pdf?sfvrsn=2729711a_2,Release used because CSV headline block is malformed
PDH accounts over 90 days in arrears,2026-Q1,21302,accounts,https://www.centralbank.ie/docs/default-source/statistics/data-and-analysis/credit-and-banking-statistics/mortgage-arrears/2026-q1-release.pdf?sfvrsn=2729711a_2,CBI release p2
Known-sector SME outstanding balance,2026-03-31,14.647,EUR billion,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv,"NULL sectors excluded, not imputed"
Known-sector SME quarterly new lending,2026-03-31,1.342,EUR billion,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv,"NULL sectors excluded, not imputed"
Total new mortgage lending,2025,15458.59,EUR million,https://opendata.centralbank.ie/dataset/19a3f8f6-d20d-421f-8818-591780225567/resource/0c86bb22-83c4-47ee-973e-07736b36a021/download/newmortgagelendingoverview.csv,Annual lending
New mortgage loans,2025,48896.0,loans,https://opendata.centralbank.ie/dataset/19a3f8f6-d20d-421f-8818-591780225567/resource/0c86bb22-83c4-47ee-973e-07736b36a021/download/newmortgagelendingoverview.csv,Annual lending
FTB average loan,2025,322253.0,EUR,https://opendata.centralbank.ie/dataset/19a3f8f6-d20d-421f-8818-591780225567/resource/27faa93b-5c22-49ab-886b-50a911139da8/download/meanloancharacteristics.csv,Mean characteristic
Household overnight deposit volume,2026-06-30,150540.0,EUR million,https://opendata.centralbank.ie/dataset/f4f24cf8-d63e-486f-b27d-ef0df7d071df/resource/f10999a2-24d2-4236-a84a-2e43af482d33/download/b.1.1.csv,CBI B.1.1 open data
Household overnight deposit rate,2026-06-30,0.14,percent per annum,https://opendata.centralbank.ie/dataset/f4f24cf8-d63e-486f-b27d-ef0df7d071df/resource/f10999a2-24d2-4236-a84a-2e43af482d33/download/b.1.1.csv,CBI B.1.1 open data
New small-business loan rate up to EUR250k,2026-06-30,5.87,percent per annum,https://opendata.centralbank.ie/dataset/dadd792b-87d1-4b9e-9ce9-8fa6e81a3378/resource/fc4dddc5-c36d-4de0-9605-076d765a0efa/download/b.2.1.csv,CBI B.2.1 open data
