year,transaction_code,transaction_type,known_public_value_eur_million,half_year_observations,suppressed_half_year_observations,safe_to_treat_as_complete,filters,source_url
2022,CP0,Card payments,33.79697445,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,CT0,Credit transfers,60.69278266,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,CW1,Cash withdrawals using cards,0.0,2,2,False,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,EMP0,E-money payments,0.0,2,2,False,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,MREM,Money remittances,0.0,2,2,False,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,SER,Other payment services,0.0,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,TOTL,"Total payment transactions [sum of CT,DD,CP,CW,EM,CHQ,MR,OTH]",0.0,2,2,False,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2022,TOTL1,"Total payment transactions, excluding cash withdrawals",64.20859099,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2023,CP0,Card payments,44.2949573,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
2023,CT0,Credit transfers,70.71926838,2,0,True,COUNT_AREA=W0; RL_TRNSCTN=1; FRD_TYP=F; UNIT_MEASURE=EUR,https://opendata.centralbank.ie/dataset/58cd6e31-de01-430e-b6d2-667d10d52713/resource/62fb2fb0-92ba-4aa5-b767-7a4645119a29/download/hpay_powerbi.csv
