period,economic_activity,outstanding_balance_eur,transactions_eur,new_lending_eur,interest_rate_pct,source_url
2026-03-31,Primary Industries,3141873694.0,42257859.84,185507963.3,5.417618,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Manufacturing,992615165.2,-26963000.03,100678510.8,4.910865,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,"Electricity, Gas, Steam & Air Conditioning Supply",178908351.5,-1398839.83,7902708.11,7.145732,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,"Construction, Real Estate & Development Activities",3228125683.0,52725014.11,237441032.4,5.14466,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Wholesale/Retail Trade & Repairs,1982822400.0,32455699.57,279853871.2,5.118189,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Hotels & Restaurants,1159496673.0,-13126745.0,115565772.2,5.250722,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Info & Communication,,,,5.701863,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,"Publishing, Broadcasting, and Content Production and Distribution Activities",39511032.45,-2094809.14,1957280.41,,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,"Telecommunication, Computer Programming, Consulting, Computing Infrastructure and Other Information Service Activities",118558210.1,6378180.68,10310466.17,,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Business & Administrative Services,1957418204.0,-1246508.31,216662168.6,4.580478,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Human Health & Social Work,524569054.2,-15638166.9,19118481.33,5.417812,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,"Other Community, Social & Personal Services",381842532.7,-1341796.57,45820912.62,3.64101,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
2026-03-31,Other activities,941466298.0,28453496.42,120813343.9,5.090245,https://opendata.centralbank.ie/dataset/802c4ab7-61b8-4481-83ba-9da5665150d3/resource/a1f4aa8c-cf84-4fdb-a148-55305609725b/download/ana.-2-loans-to-irish-smes.csv
