sha256,format,detected_format,decryption,bytes,classification,classification_reason,read_status,sheet_count,visible_sheet_count,apparent_cells,sample_nonempty,sample_numeric,sample_formulas,sheet_names,sample_text,seconds,error,canonical_url,local_path
2b4638518c22ae659f376dde7f89869f36788dd6af114d779016f3455cf8859b,XLS,XLS,,165888,regulatory_reporting_template,Located under reporting requirements,readable,1,1,2728,17,0,0,Application Questionnaire ,"Related Party Lending | Questionnaire for Approval of Loans exceeding €1m | If the lending is to an entity which has gained an exemption under Section 6 (i) of the code, there is no requirement to apply for approval for lending to that  | Date of Application | 1. Details of Applicant | a) Name of Applicant | a1) Name of related party Principal, if different | b) Related Party Principal Code | RP 1.1* | c) Related Party Connected Code | RP 1.2* | d) Nature of Connection",0.016,,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-questionnaire.xls?sfvrsn=2,files\www.centralbank.ie\_long\c2616b474533023ba9e7e20b\gns-4-4-3-5-questionnaire__q-4fccbb85c7__u-c2616b474533.xls
94fd27bf1401d41bf07612e3edd890d96a123e15bb6ae89f92d71d5f78868758,XLS,XLS,,104960,regulatory_reporting_template,Located under reporting requirements,readable,3,3,1141,176,34,0,Template | Completed Sample Template | Drop Down List,CODE OF PRACTICE ON LENDING TO RELATED PARTIES | Format of Quarterly Related Party Lending Report | (in accordance with requirement 7(a) of the Code). | Lending Institution | Reporting Date | Details of Related Party | Details of Exposure | Exposure Limits | Related Party Category | Related Party Code | Related Party Name | Nature of Connection || Appendix 1 - Sample Reporting | CODE OF PRACTICE ON LENDING TO RELATED PARTIES | Format of Quarterly Related Party Lending Report | (in accordance with requirement 7(a) of the Code). | Lending Institution | ABC Bank | Reporting Date | Details of Related Party | Details of Exposure | Exposure Limits | Related Party Category | Related Party Code || Related Party Category | Restructure | Scope | Reason for Connection | 1 | Yes | Individual | Spouse | No | Consolidated | Domestic Partner | Child,0.0,,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-related-party-lending-return.xls?sfvrsn=2,files\www.centralbank.ie\_long\fcc5bbdecdb4f3b7073f1ccf\gns-4-4-3-5-related-party-lending-return__q-4fccbb85c7__u-fcc.xls
a1f1e188886a587cc3731b2724e473ff8ca1684841819c690663763829d9d7ce,XLS,XLSX,,24238,regulatory_reporting_template,Located under reporting requirements,readable,1,1,270,11,0,0,New Clients Info,RPL Information Schedule | Reporting Firm Code | Company Registration No. (if applicable) | Full Related Party Name (not abbreviated) | Related Party Category | Existing Person Code | Full Address of New Client | Date of Birth | New Client Code (supplied by Central Bank) | Principal RP 1.1 | Connected RP 1.2,0.0,,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-rpl-new-clients-information-schedule.xls?sfvrsn=2,files\www.centralbank.ie\_long\b3bfb774fd18bce49b520968\gns-4-4-3-5-rpl-new-clients-information-schedule__q-4fccbb85c.xls
12a4e940d891d423fb470f046a7a21a7f442bf3d592ac4cb7e3463211de98664,XLS,XLS,,190464,regulatory_reporting_template,Located under reporting requirements,readable,2,2,1139,33,8,0,RSL | Sign-Off Sheet,"REPORT ON SECTORAL LIMITS (RSL) | Lending: All offices (prudential basis) | NAME OF INSTITUTION: | INSTITUTION CODE: | REPORTING DATE: | Risk assets | Percentage of total capital | € 000's | % | 1. Primary Industries | 1.1 Growing of crops, market gardening, horticulture | 1.2 Farming of animals || SIGN-OFF SHEET | Report on Sectoral Limits (RSL) | NAME OF INSTITUTION: | INSTITUTION CODE: | REPORTING DATE: | This form should be submitted within fifteen working days of the reporting date to: | Financial Reporting Unit | Wholesale Banks Supervision",0.0,,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-rsl.xls?sfvrsn=4,files\www.centralbank.ie\_long\c16db98be1d810850fb7ac2d\gns-4-4-3-5-rsl__q-dd2b33c369__u-c16db98be1d8.xls
4997bfd5a16c5f1646052b473eec226be05e1358a065ff1ca34f8472d750150c,XLS,XLSX,,139075,regulatory_reporting_template,Located under reporting requirements,readable,2,2,28448,57,20,3,Cover | New Clients Info,"LARGE EXPOSURES NEW CLIENT REQUEST TEMPLATE || Result: | Reporting Firm C-Code | Reporting Date | Row Number | Institution (C-code), Group (C-Code), or Person (P-code) | Company Registration No. or Equivalent (if Institution) | Country of Incorporation (if Insititution) | LEI Code (If available) | Date of Birth (if P-code) | Full Legal Name (not abbreviated) | Use of ""Alternative Approach"" for Exposures to Central Governments | If ""Alternative Approach"" is used, please specify country of Central Government (Please leave blank otherwise)",0.015,,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-6-new-clients-information-schedule.xls,files\www.centralbank.ie\_long\bbb4ab1d601b8e0d902ccf06\gns-4-4-3-6-new-clients-information-schedule__u-bbb4ab1d601b.xls
040c147fd8c47251fce3ad67fdb74439fd30f96af0d84d9c48890d4e99c97657,XLS,XLS,known default password: VelvetSweatshop,54784,application_or_form,Filename identifies an application/form/questionnaire,readable,1,1,1269,42,23,0,eForm,Counterfeit Banknote Electronic Submission Form | Denominations | Number Of Notes | Total | Submitted by | Date of Submission | Signed : ______________________________________________ | Totals | Detected by | Date Note was First Detected | Branch | County,0.032,,https://www.centralbank.ie/docs/default-source/consumer-hub-library/notes-and-coins/counterfeit-submission-form.xls?sfvrsn=75f58f1d_8,files\www.centralbank.ie\_long\9245f462553379f8da8f23ab\counterfeit-submission-form__q-ef41681a1d__u-9245f4625533.xls
f43813e6d8290c76bf4b413d2c0a7d5ffa471649d1ba41a27b4bbbcce0efe696,XLS,XLS,,47616,regulatory_reporting_template,Filename identifies a template/return/schedule,readable,1,1,318,61,32,0,Returns Schedule,"SCHEDULE OF DATES FOR RECEIPT OF SUPERVISORY DATA AT THE CENTRAL BANK FOR 2026 | Reporting date: | COREP | COREP OF, COREP LR | COREP FRTB Market Risk | Asset Encumbrance | IRRBB | FINREP | FINREP (See footnote 2) | LARGE EXPOSURES - CRD IV Templates | Large Exposures Return | Large Exposures Return - Code Requests",0.0,,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/credit-institutions/regulatory-requirements/schedule-of-reporting-dates.xls?sfvrsn=dc19b1d_2,files\www.centralbank.ie\_long\57dfe65d4398c1a8d0da0ad9\schedule-of-reporting-dates__q-da07728cec__u-57dfe65d4398.xls
d5884f272c0db7ff8fd4bca6b4cf5dbdd7efac0b6285f902e943a55ae7fa3155,XLS,XLS,,223232,application_or_form,Located in forms or filename identifies a form,readable,3,3,504,71,0,0,Form AR3 | Secretary Details | Director Details,SECRETARY DETAILS ON REGISTRATION | 1.2.1 | In case of individual: | 1.2.1(a) | Surname | 1.2.1(b) | Former Surname | 1.2.1(c) | Forename | 1.2.1(d) | Former Forename | 1.2.1(e) || DIRECTOR DETAILS ON REGISTRATION | 1.3.1 | Director: | 1.3.1(a) | Surname | 1.3.1(b) | Former surname | 1.3.1(c) | Forename | 1.3.1(d) | Former forename | 1.3.1(e),0.015,,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/funds/introduction-to-icav/forms-(icav)/gns-4-4-8-4-5-_ar3-form.xls?sfvrsn=9a26d71d_4,files\www.centralbank.ie\_long\bd44e096bc9f0a37086e6917\gns-4-4-8-4-5-_ar3-form__q-8845b00dc9__u-bd44e096bc9f.xls
503f711ee1e828d21fed1e0bb192580e55c713049241f17f29f8e2261bbc945a,XLS,XLS,,44032,regulatory_reporting_template,Filename identifies a template/return/schedule,readable,1,1,200,12,0,0,New Clients Info,"Reporting Firm Code | Reporting Date (XX/XX/20XX) | Company Registration No. (if applicable) | Full New Client Name (not abbreviated) | Sector Code as per RSI return | Template 1 or Template 2 client (1/2) | If Template 2, connected to (provide code if available) | Principals (provide code if available) | Full Address of New Client | Date of Birth (if new client a person) | New Client Code (supplied by Central Bank) | The Central Bank may process personal data provided by you in order to fulfil its statutory functions or to facilitate its business operations. Any personal dat",0.0,,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/investment-firms/documents-for-privacy-notice-gdpr/new-clients-information-schedule.xls?sfvrsn=e749b21d_2,files\www.centralbank.ie\_long\d6136f6536caefba8138ed9b\new-clients-information-schedule__q-e6ecc47be0__u-d6136f6536c.xls
3a55bfa9bcb2967ec90f5fd2d1f8b3a5c953a57f176852beed060ac07d16eb50,XLS,XLS,,328192,regulatory_reporting_template,Located under reporting requirements,readable,19,19,4435,925,35,0,Cover Note | List of Templates | Table A | Table 1.1 | Table 1.2 | Table 1.3 | Table 2 | Table 33 | Table 5 | Table 9 | Table 10 | Table 16 | Table 17 | Table 21 | Table 22 | Table 24 | Table 25 | Sheet1 | Sheet2,"FINREP for Irish Investment Firms - Guidance Note - | Appendix 1 | Note: | This file serves as an appendix to the Central Bank of Ireland's FINREP for Irish Investment Firms - Guidance Note1. Firms are therefore encouraged to read the  | 1Available on the MiFID firms reporting requirements section of the Central Bank website at: | http://www.centralbank.ie/regulation/industry-sectors/investment-firms/mifid-firms/Pages/reporting.aspx | and on the IIA Non-Retail firms reporting requirements section of the Central Bank website at: || List of Templates | Ref. | CORE TEMPLATES - MANDATORY FOR ALL IRISH INVESTMENT FIRMS | A | Questionnaire | Balance Sheet Statement (Statement of Financial Position) | 1.1 | Assets | 1.2 | Liabilities | 1.3 | Equity || Table A | Row Ref. | Questionnaire | A.1 | Name of Firm: | A.2 | In what functional currency were the accounts prepared? | A.3 | If the submission relates to audited accounts, has the auditor submitted an unqualified audit report? | A.4 | If there have been any post-balance sheet events please specify: | A.5 || 1. Balance Sheet Statement [Statement of Financial Position] | Table 1.1. Assets | Euro 000's | Row Ref. | References | References translated to Irish GAAP [N1] | Breakdown in table | Current [A] | Non-current [B] | Total carrying amount [A+B] | 1.1.01 | Cash and cash equivalents || 1. Balance Sheet Statement [Statement of Financial Position] | Table 1.2. Liabilities | Euro 000's | Row Ref. | References | References translated to Irish GAAP [N1] | Breakdown in table | Current | Non-current | Total carrying amount | 1.2.01 | Financial liabilities held for trading || 1. Balance Sheet Statement [Statement of Financial Position] | Table 1.3. Equity | Euro 000's | Row Ref. | References | References translated to Irish GAAP [N1] | Breakdown in table | Carrying amount | 1.3.1 | Issued capital | IAS 1.54 (r) | Must equal 1.3.1.1 + 1.3.1.2 || 2. Income Statement | Euro 000's | Row Ref. | References | References translated to Irish GAAP [N1] | Breakdown in table | Current period | CONTINUING OPERATIONS | 2.1.1.01 | Interest income | IAS 18.35 (b) (iii) | Must equal 2.1.1.01.1 + 2.1.1.01.2 + 2.1.1.01.3 + 2.1.1.01.4 + 2.1.1.01.5 + 2.1.1.01.6 + 2.1.1.01.7 || 33. Supplementary Financial Reporting Return | Table A. Breakdown of Expenses | Eur 000's | Row Ref. | Current Period | 33.A.1 | Staff Expenses [2.1.1.17.1] | Must equal 33.A.1.1 + 33.A.1.2 + 33.A.1.3 + 33.A.1.4 + 33.A.1.5 Must equal 2.1.1.17.1 | 33.A.1.1 | Wages and Salaries | 33.A.1.2 | Bonuses, Profit Shares or Benefits in Kind || 5. Breakdown of financial assets | Table A. Breakdown of demand deposits and cash equivalents | Euro 000's | Row Ref. | References | Carrying amount | 5.A.1.1 | Equity instruments | IAS 32.11; IAS 7.6-7, 45, IE.3 | 5.A.1.2 | Debt securities | IAS 7.6-7, 45, IE.3 || 9. Information on Credit Risk and Impairment | Table A. Overview of impairment | Euro 000's | Row Ref. | Additions [A] | Reversals [B] | Total | Accumulated impairment | Note | 9.A.1.1 | Impairment on financial assets not measured at fair value through profit or loss | Must equal 9.A.1.1.1 + 9.A.1.1.2 + 9.A.1.1.3 + 9.A.1.1.4 || 10. Financial liabilities | Table B. Subordinated liabilities | Euro 000's | Row Ref. | References | Designated at fair value through profit or loss | At amortized cost | IFRS 7.8 (e) (i); IAS 39.9 | IFRS 7.8 (f); IAS 39.47 | 10.A.1.1 | Deposits | ECB/2008/32 Annex 2 part 2.9 || 16. Defined benefit plans and employee benefits | Table A. Components of defined benefit plan assets and liabilities | Euro 000's | Row Ref. | References | Amount | 16.A.01 | Present value of wholly or partially funded defined benefit obligations | IAS 19.120A (d), 54 (a) | 16.A.02 | Fair value, defined benefit plan assets | IAS 19.120A (j), 54 (d) || 17. Loan commitments, financial guarantees and other commitments | Euro 000's | Row Ref. | References | Notional Amount | IFRS 7.36 (a), B10 (c) (d) CRD Article 78 | LOAN COMMITMENTS | IAS 39.2 (h), 4 (",0.0,,https://www.centralbank.ie/docs/default-source/regulation/industry-market-sectors/investment-firms/iia-non-retail-firms/reporting-requirements/gns-4-4-11-1-5-finrep-for-irish-investment-firms---guidance-note---appendix-1.xls?sfvrsn=de68d51d_4,files\www.centralbank.ie\_long\9816145706a7adf0c5f3d434\gns-4-4-11-1-5-finrep-for-irish-investment-firms---guidance-n.xls
