sha256,format,classification,sheet_name,state,rows,columns,apparent_cells,sample_nonempty,sample_numeric,sample_formulas,sample_text,canonical_url
2b4638518c22ae659f376dde7f89869f36788dd6af114d779016f3455cf8859b,XLS,regulatory_reporting_template,Application Questionnaire ,unknown,124,22,2728,17,0,,"Related Party Lending | Questionnaire for Approval of Loans exceeding €1m | If the lending is to an entity which has gained an exemption under Section 6 (i) of the code, there is no requirement to apply for approval for lending to that  | Date of Application | 1. Details of Applicant | a) Name of Applicant | a1) Name of related party Principal, if different | b) Related Party Principal Code | RP 1.1* | c) Related Party Connected Code | RP 1.2* | d) Nature of Connection",https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-questionnaire.xls?sfvrsn=2
94fd27bf1401d41bf07612e3edd890d96a123e15bb6ae89f92d71d5f78868758,XLS,regulatory_reporting_template,Template,unknown,16,19,304,48,0,,CODE OF PRACTICE ON LENDING TO RELATED PARTIES | Format of Quarterly Related Party Lending Report | (in accordance with requirement 7(a) of the Code). | Lending Institution | Reporting Date | Details of Related Party | Details of Exposure | Exposure Limits | Related Party Category | Related Party Code | Related Party Name | Nature of Connection,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-related-party-lending-return.xls?sfvrsn=2
94fd27bf1401d41bf07612e3edd890d96a123e15bb6ae89f92d71d5f78868758,XLS,regulatory_reporting_template,Completed Sample Template,unknown,40,19,760,106,31,,Appendix 1 - Sample Reporting | CODE OF PRACTICE ON LENDING TO RELATED PARTIES | Format of Quarterly Related Party Lending Report | (in accordance with requirement 7(a) of the Code). | Lending Institution | ABC Bank | Reporting Date | Details of Related Party | Details of Exposure | Exposure Limits | Related Party Category | Related Party Code,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-related-party-lending-return.xls?sfvrsn=2
94fd27bf1401d41bf07612e3edd890d96a123e15bb6ae89f92d71d5f78868758,XLS,regulatory_reporting_template,Drop Down List,unknown,11,7,77,22,3,,Related Party Category | Restructure | Scope | Reason for Connection | 1 | Yes | Individual | Spouse | No | Consolidated | Domestic Partner | Child,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-related-party-lending-return.xls?sfvrsn=2
a1f1e188886a587cc3731b2724e473ff8ca1684841819c690663763829d9d7ce,XLS,regulatory_reporting_template,New Clients Info,visible,30,9,270,11,0,0,RPL Information Schedule | Reporting Firm Code | Company Registration No. (if applicable) | Full Related Party Name (not abbreviated) | Related Party Category | Existing Person Code | Full Address of New Client | Date of Birth | New Client Code (supplied by Central Bank) | Principal RP 1.1 | Connected RP 1.2,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-rpl-new-clients-information-schedule.xls?sfvrsn=2
12a4e940d891d423fb470f046a7a21a7f442bf3d592ac4cb7e3463211de98664,XLS,regulatory_reporting_template,RSL,unknown,127,5,635,25,8,,"REPORT ON SECTORAL LIMITS (RSL) | Lending: All offices (prudential basis) | NAME OF INSTITUTION: | INSTITUTION CODE: | REPORTING DATE: | Risk assets | Percentage of total capital | € 000's | % | 1. Primary Industries | 1.1 Growing of crops, market gardening, horticulture | 1.2 Farming of animals",https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-rsl.xls?sfvrsn=4
12a4e940d891d423fb470f046a7a21a7f442bf3d592ac4cb7e3463211de98664,XLS,regulatory_reporting_template,Sign-Off Sheet,unknown,63,8,504,8,0,,SIGN-OFF SHEET | Report on Sectoral Limits (RSL) | NAME OF INSTITUTION: | INSTITUTION CODE: | REPORTING DATE: | This form should be submitted within fifteen working days of the reporting date to: | Financial Reporting Unit | Wholesale Banks Supervision,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-5-rsl.xls?sfvrsn=4
4997bfd5a16c5f1646052b473eec226be05e1358a065ff1ca34f8472d750150c,XLS,regulatory_reporting_template,Cover,visible,232,9,2088,1,0,0,LARGE EXPOSURES NEW CLIENT REQUEST TEMPLATE,https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-6-new-clients-information-schedule.xls
4997bfd5a16c5f1646052b473eec226be05e1358a065ff1ca34f8472d750150c,XLS,regulatory_reporting_template,New Clients Info,visible,1318,20,26360,56,20,3,"Result: | Reporting Firm C-Code | Reporting Date | Row Number | Institution (C-code), Group (C-Code), or Person (P-code) | Company Registration No. or Equivalent (if Institution) | Country of Incorporation (if Insititution) | LEI Code (If available) | Date of Birth (if P-code) | Full Legal Name (not abbreviated) | Use of ""Alternative Approach"" for Exposures to Central Governments | If ""Alternative Approach"" is used, please specify country of Central Government (Please leave blank otherwise)",https://www.centralbank.ie/docs/default-source/Regulation/industry-market-sectors/credit-institutions/reporting-requirements/gns-4-4-3-6-new-clients-information-schedule.xls
040c147fd8c47251fce3ad67fdb74439fd30f96af0d84d9c48890d4e99c97657,XLS,application_or_form,eForm,unknown,47,27,1269,42,23,,Counterfeit Banknote Electronic Submission Form | Denominations | Number Of Notes | Total | Submitted by | Date of Submission | Signed : ______________________________________________ | Totals | Detected by | Date Note was First Detected | Branch | County,https://www.centralbank.ie/docs/default-source/consumer-hub-library/notes-and-coins/counterfeit-submission-form.xls?sfvrsn=75f58f1d_8
